pbp_id,period,pbp_order,wall_clock_int,description,points,msg_type,action_type,player_id_1,player_id_2,player_id_3,traditional_off_lineup,enhanced_off_lineup,trad_lineup_status,enh_lineup_status
327,2,242,438130,Thompson Alley Oop Dunk (9 PTS) (Ja. Green 2 AST),2,1,52,1641708.0,1630224.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1642263]",HAS_LINEUP,HAS_LINEUP
331,2,244,438510,Thompson 1' Alley Oop Dunk (11 PTS) (Sengun 3 AST),2,1,52,1641708.0,1630578.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
348,3,252,448190,Sengun 9' Hook Shot (7 PTS) (Adams 1 AST),2,1,3,1630578.0,203500.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
358,3,259,448950,Thompson 3PT Jump Shot (14 PTS) (Brooks 1 AST),3,1,1,1641708.0,1628415.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
366,3,264,449510,Sengun 15' Jump Shot (9 PTS) (Ja. Green 3 AST),2,1,1,1630578.0,1630224.0,,"[203500, 1630256, 1641715, 1642263]","[1628415, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
384,3,277,450750,Brooks 3PT Jump Shot (7 PTS) (Ja. Green 4 AST),3,1,1,1628415.0,1630224.0,,"[203500, 1630256, 1641715, 1642263]","[203500, 1630224, 1630578, 1631106, 1641708]",HAS_LINEUP,HAS_LINEUP
388,3,280,451070,Sengun 5' Driving Hook Shot (11 PTS),2,1,57,1630578.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
396,3,286,453520,Sengun Free Throw 1 of 2 (12 PTS),1,3,11,1630578.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
399,3,288,453720,Sengun Free Throw 2 of 2 (13 PTS),1,3,12,1630578.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
402,3,291,454070,Sengun 26' 3PT Jump Shot (16 PTS) (Brooks 2 AST),3,1,1,1630578.0,1628415.0,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
406,3,294,454390,Ja. Green 1' Running Reverse Layup (18 PTS) (Brooks 3 AST),2,1,74,1630224.0,1628415.0,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
420,3,305,457140,Sengun 5' Turnaround Hook Shot (18 PTS),2,1,58,1630578.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
423,3,307,457530,Brooks 19' Step Back Jump Shot (9 PTS),2,1,80,1628415.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
440,3,320,458500,Thompson 6' Turnaround Jump Shot (16 PTS),2,1,47,1641708.0,,,"[203500, 1630256, 1641715, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
458,3,335,460920,Ja. Green 1' Driving Dunk (20 PTS),2,1,9,1630224.0,,,"[203500, 1630256, 1641708, 1642263]","[203500, 1628415, 1630224, 1630578, 1641708]",HAS_LINEUP,HAS_LINEUP
464,3,340,461470,Sengun 1' Cutting Dunk Shot (20 PTS) (Ja. Green 5 AST),2,1,108,1630578.0,1630224.0,,"[203500, 1630256, 1641708, 1642263]","[203500, 1630224, 1630578, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
475,3,347,462300,Eason 14' Jump Shot (6 PTS),2,1,1,1631106.0,,,"[203500, 1630256, 1641708, 1642263]","[1630224, 1630578, 1631106, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
486,3,355,463360,Eason 1' Alley Oop Layup (8 PTS) (Ja. Green 6 AST),2,1,43,1631106.0,1630224.0,,"[203500, 1628415, 1630256, 1641708, 1642263]","[1630224, 1630578, 1631106, 1641708, 1641715]",HAS_LINEUP,HAS_LINEUP
504,4,364,465730,Holiday 4' Driving Finger Roll Layup (2 PTS) (Thompson 3 AST),2,1,75,1628988.0,1641708.0,,"[203500, 1628415, 1630256, 1641708, 1642263]","[203500, 1630224, 1630578, 1631106, 1641715]",HAS_LINEUP,HAS_LINEUP
535,4,384,469240,Thompson 11' Pullup Jump Shot (18 PTS),2,1,79,1641708.0,,,"[203500, 1628415, 1628988, 1630256, 1641708, 1642263]","[203500, 1628988, 1630578, 1631106, 1641715]",HAS_LINEUP,HAS_LINEUP
