period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description,resolved_via_last_name,sub_direction_inverted,lineup_json
1,87,625.0,1610612745,HOU,missing_sub_in,1628415,Dillon Brooks,,Brooks 28' 3PT Jump Shot (3 PTS) (Tate 1 AST),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,89,651.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,Whitmore REBOUND (Off:0 Def:1),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,90,659.0,1610612745,HOU,missing_sub_in,1641715,Cam Whitmore,,MISS Whitmore 3' Driving Floating Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,90,659.0,1610612745,HOU,possible_missing_sub_out,1630224,Jalen Green,124.0,MISS Whitmore 3' Driving Floating Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,91,660.9,1610612745,HOU,missing_sub_in,203500,Steven Adams,,Adams REBOUND (Off:1 Def:0),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,92,660.9,1610612745,HOU,missing_sub_in,203500,Steven Adams,,MISS Adams Tip Layup Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,94,666.1,1610612742,DAL,missing_sub_in,1630230,Naji Marshall,,MISS Marshall 8' Running Pull-Up Jump Shot,false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,95,667.6,1610612745,HOU,missing_sub_in,203500,Steven Adams,,Adams REBOUND (Off:1 Def:1),false,false,"[1630224, 1630578, 1631106, 1641708]"
1,96,675.3,1610612745,HOU,missing_sub_in,203500,Steven Adams,,MISS Adams 11' Floating Jump Shot,false,false,"[1630224, 1630578, 1631106, 1641708]"
1,97,678.4,1610612742,DAL,missing_sub_in,1630230,Naji Marshall,,Marshall REBOUND (Off:0 Def:1),false,false,"[202681, 202691, 203076, 1629023, 1629655]"
1,100,683.2,1610612742,DAL,sub_direction_inverted,203076,Anthony Davis,,SUB: Gafford FOR Davis,false,true,"[202681, 202691, 203076, 1629023]"
1,101,683.2,1610612742,DAL,sub_direction_inverted,203915,Spencer Dinwiddie,,SUB: Irving FOR Dinwiddie,false,true,"[202691, 203076, 203915, 1629023]"
1,102,683.2,1610612742,DAL,possible_missing_sub_out,203915,Spencer Dinwiddie,248.2,Christie Free Throw 2 of 2 (5 PTS),false,false,"[202691, 203076, 203915, 1629023]"
