period,pbp_order,abs_time,team_id,team_abbrev,lineup_size,lineup_player_ids_json,lineup_player_names_json,event_desc
1,14,112.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Thompson 7' Driving Floating Bank Jump Shot (2 PTS) (Davis 3 AST)
1,15,131.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST)
1,15,131.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Sengun 18' Jump Shot (2 PTS) (Ja. Green 1 AST)
1,16,140.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Thompson 1' Driving Layup (4 PTS) (Washington 1 AST)
1,16,140.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Thompson 1' Driving Layup (4 PTS) (Washington 1 AST)
1,17,155.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",MISS Thompson 2' Cutting Layup Shot
1,17,155.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",MISS Thompson 2' Cutting Layup Shot
1,18,155.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Gafford REBOUND (Off:0 Def:1)
1,18,155.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Gafford REBOUND (Off:0 Def:1)
1,19,160.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",MISS Irving 26' 3PT Running Pull-Up Jump Shot
1,19,160.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",MISS Irving 26' 3PT Running Pull-Up Jump Shot
1,20,162.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Brooks REBOUND (Off:0 Def:1)
1,20,162.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Brooks REBOUND (Off:0 Def:1)
1,21,170.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Ja. Green 2' Driving Layup (2 PTS)
1,21,170.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Ja. Green 2' Driving Layup (2 PTS)
1,22,189.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Davis 6' Turnaround Jump Shot (2 PTS)
1,22,189.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Davis 6' Turnaround Jump Shot (2 PTS)
1,23,213.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",MISS Sengun 2' Cutting Layup Shot
1,23,213.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",MISS Sengun 2' Cutting Layup Shot
1,24,214.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Davis REBOUND (Off:0 Def:3)
1,24,214.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Davis REBOUND (Off:0 Def:3)
1,25,226.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Davis 5' Turnaround Hook Shot (4 PTS)
1,25,226.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",Davis 5' Turnaround Hook Shot (4 PTS)
1,26,230.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",""
1,26,230.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",""
1,27,247.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",""
1,27,247.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",""
1,28,251.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",MISS Sengun 26' 3PT Jump Shot
1,28,251.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",MISS Sengun 26' 3PT Jump Shot
1,29,254.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",Gafford REBOUND (Off:0 Def:2)
