period,pbp_order,abs_time,team_id,team_abbrev,lineup_size,lineup_player_ids_json,lineup_player_names_json,event_desc
2,117,779.0,1610612745,HOU,5,"[203500, 1628415, 1631106, 1641715, 1642263]","[""Cam Whitmore"", ""Dillon Brooks"", ""Reed Sheppard"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: Sheppard REBOUND (Off:1 Def:0)
2,134,839.0,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",FIRST_ACTION: MISS Tate 4' Driving Dunk
2,134,839.0,1610612745,HOU,5,"[203500, 1628415, 1630256, 1631106, 1642263]","[""Dillon Brooks"", ""Jae'Sean Tate"", ""Reed Sheppard"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: MISS Tate 4' Driving Dunk
2,143,874.0,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",FIRST_ACTION: MISS Whitmore 25' 3PT Running Jump Shot
2,143,874.0,1610612745,HOU,5,"[1628415, 1630256, 1631106, 1641715, 1642263]","[""Cam Whitmore"", ""Dillon Brooks"", ""Jae'Sean Tate"", ""Reed Sheppard"", ""Tari Eason""]",FIRST_ACTION: MISS Whitmore 25' 3PT Running Jump Shot
2,148,877.0,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",SUB: Sengun FOR Tate
2,148,877.0,1610612745,HOU,5,"[1628415, 1630578, 1631106, 1641715, 1642263]","[""Alperen Sengun"", ""Cam Whitmore"", ""Dillon Brooks"", ""Reed Sheppard"", ""Tari Eason""]",SUB: Sengun FOR Tate
2,149,877.0,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",SUB: Thompson FOR Adams
2,149,877.0,1610612745,HOU,6,"[1628415, 1630578, 1631106, 1641708, 1641715, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Dillon Brooks"", ""Reed Sheppard"", ""Tari Eason""]",SUB: Thompson FOR Adams
2,158,890.0,1610612742,DAL,5,"[202681, 202691, 203076, 203957, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",SUB: Davis FOR Gafford
2,158,890.0,1610612745,HOU,5,"[1628415, 1630578, 1631106, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Dillon Brooks"", ""Tari Eason""]",SUB: Davis FOR Gafford
2,166,944.0,1610612742,DAL,5,"[202681, 202691, 203076, 203957, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",FIRST_ACTION: Sheppard S.FOUL (P1.T2) (J.Schroeder)
2,166,944.0,1610612745,HOU,5,"[1630578, 1631106, 1641708, 1641715, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Reed Sheppard"", ""Tari Eason""]",FIRST_ACTION: Sheppard S.FOUL (P1.T2) (J.Schroeder)
2,169,944.0,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 203957]","[""Anthony Davis"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Spencer Dinwiddie""]",SUB: Dinwiddie FOR Christie
2,169,944.0,1610612745,HOU,5,"[1630578, 1631106, 1641708, 1641715, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Reed Sheppard"", ""Tari Eason""]",SUB: Dinwiddie FOR Christie
2,171,962.0,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 1629023]","[""Anthony Davis"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington"", ""Spencer Dinwiddie""]",FIRST_ACTION: Washington S.FOUL (P1.PN) (J.Schroeder)
2,171,962.0,1610612745,HOU,5,"[1630578, 1631106, 1641708, 1641715, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Reed Sheppard"", ""Tari Eason""]",FIRST_ACTION: Washington S.FOUL (P1.PN) (J.Schroeder)
2,174,962.0,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 1629023]","[""Anthony Davis"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington"", ""Spencer Dinwiddie""]",SUB: Brooks FOR Whitmore
2,174,962.0,1610612745,HOU,5,"[1628415, 1630578, 1631106, 1641708, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Reed Sheppard"", ""Tari Eason""]",SUB: Brooks FOR Whitmore
2,175,962.0,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 1629023]","[""Anthony Davis"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington"", ""Spencer Dinwiddie""]",SUB: Ja. Green FOR Eason
2,175,962.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Reed Sheppard""]",SUB: Ja. Green FOR Eason
2,203,1153.0,1610612742,DAL,5,"[202681, 202691, 203076, 203915, 1630230]","[""Anthony Davis"", ""Klay Thompson"", ""Kyrie Irving"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Marshall FOR Washington
2,203,1153.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Reed Sheppard""]",SUB: Marshall FOR Washington
2,204,1153.0,1610612742,DAL,5,"[202681, 203076, 203915, 203957, 1630230]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Exum FOR Thompson
2,204,1153.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1642263]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Reed Sheppard""]",SUB: Exum FOR Thompson
2,205,1153.0,1610612742,DAL,5,"[202681, 203076, 203915, 203957, 1630230]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Eason FOR Sheppard
2,205,1153.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Eason FOR Sheppard
2,224,1266.0,1610612742,DAL,5,"[202681, 203076, 203957, 1629023, 1630230]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Naji Marshall"", ""P.J. Washington""]",SUB: Washington FOR Dinwiddie
2,224,1266.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Washington FOR Dinwiddie
2,239,1370.0,1610612742,DAL,5,"[202681, 203076, 203957, 1630230, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall""]",SUB: Christie FOR Washington
2,239,1370.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Christie FOR Washington
3,256,1479.0,1610612742,DAL,5,"[202681, 202691, 203076, 1629023, 1629655]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""P.J. Washington""]",FIRST_ACTION: Adams REBOUND (Off:3 Def:2)
3,256,1479.0,1610612745,HOU,5,"[203500, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Jalen Green"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: Adams REBOUND (Off:3 Def:2)
3,260,1538.0,1610612742,DAL,5,"[202691, 203076, 1629023, 1629655, 1631108]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Max Christie"", ""P.J. Washington""]",FIRST_ACTION: Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST)
3,260,1538.0,1610612745,HOU,5,"[203500, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Jalen Green"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: Christie 16' Step Back Jump Shot (10 PTS) (Davis 6 AST)
3,271,1606.0,1610612742,DAL,5,"[202691, 203076, 1629023, 1629655, 1631108]","[""Anthony Davis"", ""Daniel Gafford"", ""Klay Thompson"", ""Max Christie"", ""P.J. Washington""]",FIRST_ACTION: MISS Brooks 9' Driving Floating Jump Shot
3,271,1606.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams""]",FIRST_ACTION: MISS Brooks 9' Driving Floating Jump Shot
3,282,1670.0,1610612742,DAL,5,"[202691, 203076, 1629023, 1630230, 1631108]","[""Anthony Davis"", ""Klay Thompson"", ""Max Christie"", ""Naji Marshall"", ""P.J. Washington""]",SUB: Marshall FOR Gafford
3,282,1670.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams""]",SUB: Marshall FOR Gafford
3,287,1701.0,1610612742,DAL,5,"[203076, 203957, 1629023, 1630230, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Max Christie"", ""Naji Marshall"", ""P.J. Washington""]",SUB: Exum FOR Thompson
3,287,1701.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams""]",SUB: Exum FOR Thompson
3,292,1761.0,1610612742,DAL,5,"[202681, 203076, 203957, 1630230, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall""]",FIRST_ACTION: MISS Irving 3' Driving Finger Roll Layup
3,292,1761.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams""]",FIRST_ACTION: MISS Irving 3' Driving Finger Roll Layup
3,304,1819.0,1610612742,DAL,5,"[202681, 203076, 203915, 203957, 1630230]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Dinwiddie FOR Christie
3,304,1819.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams""]",SUB: Dinwiddie FOR Christie
3,316,1915.0,1610612742,DAL,5,"[202681, 203076, 203915, 203957, 1630230]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Eason FOR Adams
3,316,1915.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Eason FOR Adams
3,323,1959.0,1610612742,DAL,5,"[202681, 203076, 203915, 203957, 1630230]","[""Anthony Davis"", ""Dante Exum"", ""Kyrie Irving"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Whitmore FOR Thompson
3,323,1959.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641715]","[""Alperen Sengun"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Whitmore FOR Thompson
3,334,1990.0,1610612742,DAL,5,"[203076, 203915, 203957, 1630230, 1631108]","[""Anthony Davis"", ""Dante Exum"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Christie FOR Irving
3,334,1990.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641715]","[""Alperen Sengun"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Christie FOR Irving
3,343,2063.0,1610612742,DAL,5,"[203076, 203915, 1629655, 1630230, 1631108]","[""Anthony Davis"", ""Daniel Gafford"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Gafford FOR Exum
3,343,2063.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641715]","[""Alperen Sengun"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Gafford FOR Exum
3,344,2063.0,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Irving FOR Davis
3,344,2063.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641715]","[""Alperen Sengun"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Irving FOR Davis
3,352,2123.7,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Holiday FOR Brooks
3,352,2123.7,1610612745,HOU,5,"[1628988, 1630224, 1630578, 1631106, 1641715]","[""Aaron Holiday"", ""Alperen Sengun"", ""Cam Whitmore"", ""Jalen Green"", ""Tari Eason""]",SUB: Holiday FOR Brooks
4,360,2206.0,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",FIRST_ACTION: Adams REBOUND (Off:7 Def:3)
4,360,2206.0,1610612745,HOU,5,"[203500, 1628988, 1630578, 1631106, 1641715]","[""Aaron Holiday"", ""Alperen Sengun"", ""Cam Whitmore"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: Adams REBOUND (Off:7 Def:3)
4,368,2234.0,1610612742,DAL,5,"[202681, 202691, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall""]",FIRST_ACTION: Thompson REBOUND (Off:0 Def:4)
4,368,2234.0,1610612745,HOU,5,"[203500, 1628988, 1630578, 1631106, 1641715]","[""Aaron Holiday"", ""Alperen Sengun"", ""Cam Whitmore"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: Thompson REBOUND (Off:0 Def:4)
4,370,2269.0,1610612742,DAL,5,"[202681, 202691, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall""]",FIRST_ACTION: MISS Thompson 3' Driving Finger Roll Layup
4,370,2269.0,1610612745,HOU,5,"[203500, 1628988, 1631106, 1641708, 1641715]","[""Aaron Holiday"", ""Amen Thompson"", ""Cam Whitmore"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: MISS Thompson 3' Driving Finger Roll Layup
4,374,2301.0,1610612742,DAL,5,"[202681, 202691, 203915, 1629655, 1631108]","[""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie"", ""Spencer Dinwiddie""]",FIRST_ACTION: MISS Dinwiddie 7' Driving Finger Roll Layup
4,374,2301.0,1610612745,HOU,5,"[203500, 1628988, 1631106, 1641708, 1641715]","[""Aaron Holiday"", ""Amen Thompson"", ""Cam Whitmore"", ""Steven Adams"", ""Tari Eason""]",FIRST_ACTION: MISS Dinwiddie 7' Driving Finger Roll Layup
4,382,2327.0,1610612742,DAL,5,"[202681, 202691, 203915, 1629655, 1631108]","[""Daniel Gafford"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie"", ""Spencer Dinwiddie""]",SUB: Ja. Green FOR Holiday
4,382,2327.0,1610612745,HOU,5,"[203500, 1630224, 1631106, 1641708, 1641715]","[""Amen Thompson"", ""Cam Whitmore"", ""Jalen Green"", ""Steven Adams"", ""Tari Eason""]",SUB: Ja. Green FOR Holiday
4,388,2370.0,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",SUB: Exum FOR Dinwiddie
4,388,2370.0,1610612745,HOU,5,"[203500, 1630224, 1631106, 1641708, 1641715]","[""Amen Thompson"", ""Cam Whitmore"", ""Jalen Green"", ""Steven Adams"", ""Tari Eason""]",SUB: Exum FOR Dinwiddie
4,393,2394.0,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",SUB: Sengun FOR Adams
4,393,2394.0,1610612745,HOU,5,"[1630224, 1630578, 1631106, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Jalen Green"", ""Tari Eason""]",SUB: Sengun FOR Adams
4,394,2394.0,1610612742,DAL,5,"[202681, 202691, 203957, 1629655, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Klay Thompson"", ""Kyrie Irving"", ""Max Christie""]",SUB: Brooks FOR Eason
4,394,2394.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green""]",SUB: Brooks FOR Eason
4,409,2442.0,1610612742,DAL,5,"[202681, 203957, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall""]",SUB: Marshall FOR Thompson
4,409,2442.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green""]",SUB: Marshall FOR Thompson
4,412,2466.0,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Dinwiddie FOR Exum
4,412,2466.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1641708, 1641715]","[""Alperen Sengun"", ""Amen Thompson"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green""]",SUB: Dinwiddie FOR Exum
4,420,2515.0,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Adams FOR Thompson
4,420,2515.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641715]","[""Alperen Sengun"", ""Cam Whitmore"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams""]",SUB: Adams FOR Thompson
4,421,2515.0,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Eason FOR Whitmore
4,421,2515.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1631106]","[""Alperen Sengun"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams"", ""Tari Eason""]",SUB: Eason FOR Whitmore
4,444,2673.0,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Thompson FOR Eason
4,444,2673.0,1610612745,HOU,5,"[203500, 1628415, 1630224, 1630578, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Steven Adams""]",SUB: Thompson FOR Eason
4,448,2690.0,1610612742,DAL,5,"[202681, 203915, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall"", ""Spencer Dinwiddie""]",SUB: Eason FOR Adams
4,448,2690.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Eason FOR Adams
4,461,2752.0,1610612742,DAL,5,"[202681, 203957, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall""]",SUB: Exum FOR Dinwiddie
4,461,2752.0,1610612745,HOU,5,"[1628415, 1630224, 1630578, 1631106, 1641708]","[""Alperen Sengun"", ""Amen Thompson"", ""Dillon Brooks"", ""Jalen Green"", ""Tari Eason""]",SUB: Exum FOR Dinwiddie
4,464,2756.0,1610612742,DAL,5,"[202681, 203957, 1629655, 1630230, 1631108]","[""Daniel Gafford"", ""Dante Exum"", ""Kyrie Irving"", ""Max Christie"", ""Naji Marshall""]",SUB: Adams FOR Eason
