player_id,player_name,team_id,team_abbrev,seconds_basic
203076,Anthony Davis,1610612742,DAL,2330.0
1629655,Daniel Gafford,1610612742,DAL,1893.4
203957,Dante Exum,1610612742,DAL,593.0
202691,Klay Thompson,1610612742,DAL,2880.0
202681,Kyrie Irving,1610612742,DAL,1343.4
1631108,Max Christie,1610612742,DAL,597.0
1629023,P.J. Washington,1610612742,DAL,2776.0
203915,Spencer Dinwiddie,1610612742,DAL,658.8
1628988,Aaron Holiday,1610612745,HOU,553.0
1630578,Alperen Sengun,1610612745,HOU,1831.0
1641708,Amen Thompson,1610612745,HOU,2110.0
1641715,Cam Whitmore,1610612745,HOU,843.0
1628415,Dillon Brooks,1610612745,HOU,1450.0
1630256,Jae'Sean Tate,1610612745,HOU,563.0
1630224,Jalen Green,1610612745,HOU,1849.0
1642263,Reed Sheppard,1610612745,HOU,287.0
203500,Steven Adams,1610612745,HOU,1279.8
1631106,Tari Eason,1610612745,HOU,1839.2
