period,pbp_order,abs_time,team_id,team_abbrev,flag_type,player_id,player_name,idle_seconds,description
3,342,2063.0,1610612745,HOU,inactivity_periods,1631106,Tari Eason,148.0,Player inactive for 148.0s (threshold: 120s)
3,342,2063.0,1610612745,HOU,inactivity_periods,1628415,Dillon Brooks,174.0,Player inactive for 174.0s (threshold: 120s)
4,360,2206.0,1610612745,HOU,missing_sub_in,203500,Steven Adams,,Adams REBOUND (Off:7 Def:3)
4,362,2208.0,1610612742,DAL,inactivity_periods,1629655,Daniel Gafford,145.0,Player inactive for 145.0s (threshold: 120s)
4,362,2208.0,1610612742,DAL,inactivity_periods,203915,Spencer Dinwiddie,157.0,Player inactive for 157.0s (threshold: 120s)
4,362,2208.0,1610612745,HOU,inactivity_periods,1630578,Alperen Sengun,184.0,Player inactive for 184.0s (threshold: 120s)
4,368,2234.0,1610612742,DAL,missing_sub_in,202691,Klay Thompson,,Thompson REBOUND (Off:0 Def:4)
4,370,2269.0,1610612745,HOU,missing_sub_in,1641708,Amen Thompson,,MISS Thompson 3' Driving Finger Roll Layup
4,374,2301.0,1610612742,DAL,missing_sub_in,203915,Spencer Dinwiddie,,MISS Dinwiddie 7' Driving Finger Roll Layup
4,382,2327.0,1610612742,DAL,inactivity_periods,1631108,Max Christie,232.0,Player inactive for 232.0s (threshold: 120s)
4,382,2327.0,1610612745,HOU,inactivity_periods,1631106,Tari Eason,125.0,Player inactive for 125.0s (threshold: 120s)
4,422,2515.0,1610612742,DAL,inactivity_periods,202681,Kyrie Irving,135.0,Player inactive for 135.0s (threshold: 120s)
4,422,2515.0,1610612745,HOU,inactivity_periods,1628415,Dillon Brooks,121.0,Player inactive for 121.0s (threshold: 120s)
4,442,2673.0,1610612742,DAL,inactivity_periods,202681,Kyrie Irving,293.0,Player inactive for 293.0s (threshold: 120s)
4,462,2756.0,1610612745,HOU,inactivity_periods,1630578,Alperen Sengun,180.0,Player inactive for 180.0s (threshold: 120s)
4,482,2813.0,1610612742,DAL,inactivity_periods,1630230,Naji Marshall,123.0,Player inactive for 123.0s (threshold: 120s)
4,482,2813.0,1610612742,DAL,inactivity_periods,1629655,Daniel Gafford,121.0,Player inactive for 121.0s (threshold: 120s)
