player_id,player_name,team,calc_seconds,box_seconds,abs_diff_seconds,segments_count
203957,Dante Exum,DAL,1503.0,1261.0,242.0,6
202681,Kyrie Irving,DAL,2273.6,2496.0,222.4,7
1630230,Naji Marshall,DAL,1668.0,1500.0,168.0,6
1642263,Reed Sheppard,HOU,307.0,433.0,126.0,2
