gameId,nbaGameId,date,season,seasonType,nbaTeamId,team,opponent,offTeamId,defTeamId,pbpId,period,gameClock,wallClock,wallClockInt,description,msgType,actionType,option1,option2,option3,option4,homeScore,awayScore,playerId1,playerId2,playerId3,locX,locY,pts,pbpOrder,lastName1,statCategory1,lastName2,statCategory2,lastName3
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612742,1610612745,32,1,9:18,2025-02-08 20:14:24Z,404640,Brooks REBOUND (Off:0 Def:1),4,0,0,0,0,0,8,5,1628415,NA,NA,100,236,0,20,Brooks,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,33,1,9:10,2025-02-08 20:14:33Z,404730,Ja. Green 2' Driving Layup (2 PTS),1,6,2,0,0,4,8,5,1630224,NA,NA,15,4,2,21,Green,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,34,1,8:51,2025-02-08 20:14:51Z,404910,Davis 6' Turnaround Jump Shot (2 PTS),1,47,2,0,0,4,8,7,203076,NA,NA,50,41,2,22,Davis,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,35,1,8:27,2025-02-08 20:15:16Z,405160,MISS Sengun 2' Cutting Layup Shot,2,98,2,0,0,4,10,7,1630578,NA,NA,6,22,0,23,Sengun,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,36,1,8:26,2025-02-08 20:15:17Z,405170,Davis REBOUND (Off:0 Def:3),4,0,0,0,0,0,10,7,203076,NA,NA,6,22,0,24,Davis,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,37,1,8:14,2025-02-08 20:15:29Z,405290,Davis 5' Turnaround Hook Shot (4 PTS),1,58,2,0,0,4,10,7,203076,NA,NA,-25,45,2,25,Davis,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,NA,NA,NA,1610612745,1610612742,38,1,8:10,2025-02-08 20:15:38Z,405380,NA,20,6,0,0,0,0,12,7,NA,NA,NA,0,-80,0,26,NA,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,NA,NA,NA,1610612745,1610612742,39,1,7:53,2025-02-08 20:15:58Z,405580,NA,20,3,0,0,0,0,12,7,NA,NA,NA,0,-80,0,27,NA,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,40,1,7:49,2025-02-08 20:16:15Z,405750,MISS Sengun 26' 3PT Jump Shot,2,1,3,0,0,0,12,7,1630578,NA,NA,54,253,0,28,Sengun,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612745,1610612742,41,1,7:46,2025-02-08 20:16:18Z,405780,Gafford REBOUND (Off:0 Def:2),4,0,0,0,0,0,12,7,1629655,NA,NA,54,253,0,29,Gafford,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,42,1,7:35,2025-02-08 20:16:30Z,405900,MISS Davis 1' Driving Layup,2,6,2,0,0,4,12,7,203076,NA,NA,-5,9,0,30,Davis,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,43,1,7:34,2025-02-08 20:16:31Z,405910,Davis REBOUND (Off:1 Def:3),4,0,1,0,0,0,12,7,203076,NA,NA,-5,9,0,31,Davis,REB,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612742,DAL,HOU,1610612742,1610612745,46,1,7:34,2025-02-08 20:16:39Z,405990,Davis Tip Dunk Shot (6 PTS),1,107,2,0,0,1,12,7,203076,NA,NA,0,0,2,32,Davis,PTS,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,47,1,7:34,2025-02-08 20:16:51Z,406110,Rockets Timeout: Regular (Reg.1 Short 0),9,1,0,0,0,0,14,7,NA,NA,NA,0,-80,0,33,NA,NA,NA,NA,NA
2025-02-08-HOU-DAL,0022400741,2025-02-08,2025,Regular,1610612745,HOU,DAL,1610612745,1610612742,51,1,7:17,2025-02-08 20:19:55Z,407950,MISS Brooks 12' Pullup Jump Shot,2,79,2,0,0,0,14,7,1628415,202691,NA,80,84,0,34,Brooks,NA,Thompson,BLK,NA
